,content_cut
0,逃杀 队友 。 逃杀 队友 技术 一般 。
1,好长时间 没玩 了
2,球球 大 作战 ， 新年 一起 盘球
3,我 只 想 找 队友 ， 有 的话 加 我 ， 谢谢 ?
4,开心
5,噗 哈哈哈 嗝 ～ 没有 对比 就 没有 伤害
6,怎么 查 充值 记录 求 回复
7,@ 枫 兮 ya ﻿ 。 • ́ ︿ • ̀ 。 为什么 哈哈哈 哈哈哈 哈哈哈 哈哈哈
8,不 知道 大家 知不知道 ， 袍子 特效 （ 圣光 ） 我 一用 就 卡 ， 棒棒糖 也 不 显示 ， 是不是 没 更新 ！
9,找 队友 ， 关注 我 ， 技术 一般
10,小盆友 暑假作业 写 完 了 没有 ， 不要 再来 坑 叔叔 了 。
11,想要 固定 队友 ， 我 的 皮肤 还 蛮 好看 ｡ ･ ω ･ ｡ ﾉ ♡ 的
13,巴拉巴 拉小 魔仙 魔仙 之语 。 啊 ？ 巴拉巴 拉 魔法 魔法 之旅 。
14,我 很 佩服 曾经 那些 忽然 就 退 了 的 球友 ， 重点 是 他们 再也 没有 回来 过 ， 我 也 想 这样 … … 很难 放下 吧 ！ 有点累 了 … …
15,嘿嘿 ， 第一次 发现 双冠 地图 中 还有 迷你 土星 。
16,找 好友 关注 ggaaa 肯定 回关 的 留言 我
17,有时候 技术 不 允许 我 当 一个 安静 的 小萝莉
19,
20,想 快点 完成 雪山 任务 ， 一个 人 的 耶
21,在 藏宝阁 抽到 个 极光 ， 好不好 啊 ， 救解
22,玩球 球大 作战 ， 也 玩 了 很 久 了 ， 发现 队友 真的 是 个 神奇 的 物种 ， 有时候 你 觉得 稳输 的 局 ， 居然 晋级 了 ， 稳赢 的 呢 反而 掉 段 了 。 失误 我 觉得 谁 都 会 有 ， 和谐 游戏 多好 ， 游戏 而已 ， 开心 就 好 ， 不 嫌 我 坑 的 大家 可以 一起 组个 队 玩玩 。
23,
24,有点 66 的 17 连胜 ， 现在 感觉 球球 又 回来 好多 人 ， 自己 队友 也 都 退游 了 ， 现在 希望 可以 收个 徒弟 ， 好好 教他 技术 ， 这样 我 就 可以 不 在 挂念 ， 希望 有 主动 来 找 我 的 ， 谢谢 。
25,回归 ， 找 对友 。 实力 不用 太强 ， 因为 我怕 跟不上 脚步 。 心态 好 优先 。
26,雪山 第三关 星空 灿 * 任务 要 氪 金 ， 考虑 我 平民 玩家 的 感受 吗
