,fromid,date,toid,text,label,chatmsg_cut,extra
8465,53578103,2018-09-16T02:19:32+08:00,33766079,买2018爽片加QQ:2748922307有萝莉，制服，丝袜，剧情，大学生，网红，明星，直播软件，等等，小哥哥快点来不吧啊啊啊,1,买 2018 爽片加 QQ : 2748922307 有萝莉 ， 制服 ， 丝袜 ， 剧情 ， 大学生 ， 网红 ， 明星 ， 直播 软件 ， 等等 ， 小 哥哥 快点 来 不 吧 啊啊啊,1
9368,1075965027,2018-09-16T02:32:11+08:00,33766079,一手观战招实力代，理，观战低至几分钱，各种业务冰红茶cdk，群号:702070836,1,一手 观战 招 实力 代 ， 理 ， 观战 低至 几分 钱 ， 各种 业务 冰红茶 cdk ， 群号 : 702070836,1
1499,33528526,2018-09-16T00:23:27+08:00,33766079,专一送头小跟班仙女+q937788312，三分钟热度就别来了。私聊已开y+,1,专一 送头 小 跟班 仙女 + q937788312 ， 三分钟 热度 就 别来 了 。 私聊 已开 y +,1
9594,53578103,2018-09-16T02:37:08+08:00,33766079,买2018爽片加QQ:2748922307有萝莉，制服，丝袜，剧情，大学生，网红，明星，直播软件，等等，小哥哥快点来不吧啊啊啊,1,买 2018 爽片加 QQ : 2748922307 有萝莉 ， 制服 ， 丝袜 ， 剧情 ， 大学生 ， 网红 ， 明星 ， 直播 软件 ， 等等 ， 小 哥哥 快点 来 不 吧 啊啊啊,1
8798,985459440,2018-09-16T02:27:54+08:00,33766079,喜自由能踩hello跟班仙女给我留言我关注你,0,喜 自由 能 踩 hello 跟班 仙女 给 我 留言 我 关注 你,1
9738,24029947,2018-09-16T02:35:46+08:00,33766079,买光环狍子嘉年华，塔坦杯，2018塔坦杯，加留言板q2078374766空间信誉可见，看我自己的皮肤2018塔坦杯狍子,1,买 光环 狍子 嘉年华 ， 塔坦杯 ， 2018 塔坦杯 ， 加 留言板 q2078374766 空间 信誉 可见 ， 看 我 自己 的 皮肤 2018 塔坦杯 狍子,1
7875,45909202,2018-09-16T02:07:57+08:00,33766079,花式逃杀,0,花式 逃杀,1
8291,985459440,2018-09-16T02:15:01+08:00,33766079,喜自由能踩hello跟班仙女给我留言我关注你,0,喜 自由 能 踩 hello 跟班 仙女 给 我 留言 我 关注 你,1
3829,1080545108,2018-09-16T00:55:56+08:00,33766079,玩红包接龙加微121200279,1,玩 红包 接龙 加微 121200279,1
7197,57437571,2018-09-16T01:55:25+08:00,33766079,逃杀,0,逃杀,1
8079,74900947,2018-09-16T02:13:49+08:00,33766079,迷雾+,0,迷雾 +,1
