,chatmsg_cut,index,label_name,Actual,
0,能 踩 hello 听话 常 在线 跟班 + 喜欢 踩 吞噬 的 私聊 我 回关 每天晚上 跟 我 一起 打白 开心 就 好 记得 私聊 我 主动 关注 你 明天 早上 全部 回复,0,0,0,√
1,处 对象 资料 有 本人 照片 ， 迷雾 来 三个 躺 的 ， 处 各种 模式 的 队友,0,0,0,√
2,能 踩 hello 听话 常 在线 跟班 + 喜欢 踩 吞噬 的 私聊 我 回关 每天晚上 跟 我 一起 打白 开心 就 好 记得 私聊 我 主动 关注 你 明天 早上 全部 回复,0,0,0,√
3,这里 有片 / 大学生 / 萝莉 / * * / 网红 / 直播 软件 / 小视频 软件 / 统统 都 有加 扣 2528753088 * * 勿扰,1,1,1,√
4,迷雾 +,0,0,0,√
5,观战 50 人一 小时 热门 0.3 元 ， 100 人 观战 0.5 元 网址 luojieds . top 售后 群 244519508,1,1,1,√
6,玩 红包 接龙 加微 121200279,1,1,1,√
7,最新 观战 ！ 全新 货源 平台 ！ 欢迎 主 站 代理 拿货 ！ 44ka . top 浏览器 打开 ！ 全网 最低价 ！ 实力 平台 ！ 限时 免费送 66gz . top 浏览器 打开,1,1,1,√
8,这里 有片 / 大学生 / 萝莉 / * * / 网红 / 直播 软件 / 小视频 软件 / 统统 都 有加 扣 2528753088 * * 勿扰,1,1,1,√
9,50 人 观战 一 小时 只要 0.60 元 ， 浏览器 搜索 ppp.52 nn . c ? n 即可 购买,1,1,1,√
10,买 2018 爽片加 QQ : 2748922307 有萝莉 ， 制服 ， 丝袜 ， 剧情 ， 大学生 ， 网红 ， 明星 ， 直播 软件 ， 等等 ， 小 哥哥 快点 来 不 吧 啊啊啊,1,1,1,√
11,7 元 1 千万部 极品 大 . 片 （ 杨幂 热巴 潜规则 都 有 ） QQ1053913518 买 了 可 免费 深夜 聊污 （ 同行 举抱 放心 添加 ）,1,1,1,√
12,逃杀,0,0,0,√
13,小 哥哥 别 给 鸟儿 放假 了 ， 买爽 片加 QQ ： 2748922307 什么 都 有 ， 萝莉 ， 制服 ， 萝莉 等等 还有 （ 直播 软件 各种 软件 ） 切记 ， 不买 勿扰,1,1,1,√
14,古 晚安,0,0,0,√
15,稳逃 +,0,0,0,√
16,一手 观战 招 实力 代 ， 理 ， 观战 低至 几分 钱 ， 各种 业务 冰红茶 cdk ， 群号 : 702070836,1,1,1,√
17,买 2018 爽片加 QQ : 2748922307 有萝莉 ， 制服 ， 丝袜 ， 剧情 ， 大学生 ， 网红 ， 明星 ， 直播 软件 ， 等等 ， 小 哥哥 快点 来 不 吧 啊啊啊,1,1,1,√
18,玩 红包 接龙 加微 121200279,1,1,1,√
19,喜 自由 能 踩 hello 跟班 仙女 给 我 留言 我 关注 你,0,0,0,√
20,一手 观战 招 实力 代 ， 理 ， 观战 低至 几分 钱 ， 各种 业务 冰红茶 cdk ， 群号 : 702070836,1,1,1,√
21,2018 最新 / 免费 / 看 / 片群 出炉 . 群号 879811126 ， 要钱 我 吃 shi 小妞 新群,1,1,1,√
22,能 踩 hello 听话 常 在线 跟班 + 喜欢 踩 吞噬 的 私聊 我 回关 每天晚上 跟 我 一起 打白 开心 就 好 记得 私聊 我 主动 关注 你 明天 早上 全部 回复,0,0,0,√
23,名人 不说 暗话 ， 我 骗个 访客 ^ _ ^,0,0,0,√
24,处 对象 资料 有 本人 照片 ， 迷雾 来 三个 躺 的 ， 处 各种 模式 的 队友,0,0,0,√
25,买 光环 狍子 嘉年华 ， 塔坦杯 ， 2018 塔坦杯 ， 加 留言板 q2078374766 空间 信誉 可见 ， 看 我 自己 的 皮肤 2018 塔坦杯 狍子,1,1,1,√
26,50 人 观战 一 小时 只要 0.60 元 ， 浏览器 搜索 ppp.52 nn . c ? n 即可 购买,1,1,1,√
27,高质量 热门 观战 低至 0.1 元 ， 货源 网 24 小时 自助 下单 链接 : wst1 * * * 免费 搭建 专业 分战 ， 群号 : 810046821,1,1,1,√
28,老板 们 该 买片 了 A . V 软件 . 网站 可 搜 （ 萝莉 ， 明星 ， 丝袜 ， 一线天 vip ） 应有尽有 可 截图 ios 可用 5r 购买 + q3422928788,1,1,1,√
29,高质量 热门 观战 低至 0.1 元 ， 货源 网 24 小时 自助 下单 链接 : wst1 * * * 免费 搭建 专业 分战 ， 群号 : 810046821,1,1,1,√
30,亦 小 唯一 QQ / WX ： 1305885547 。 热门 . 观战 货源 网站 ： ww ? w ? . ? a7a7 . c ? n ( 全网 最稳 最 便宜 软件 24 小时 秒 单 ),1,1,1,√
31,买 光环 狍子 嘉年华 ， 塔坦杯 ， 2018 塔坦杯 ， 加 留言板 q2078374766 空间 信誉 可见 ， 看 我 自己 的 皮肤 2018 塔坦杯 狍子,1,1,1,√
32,最新 观战 ！ 全新 货源 平台 ！ 欢迎 主 站 代理 拿货 ！ 44ka . top 浏览器 打开 ！ 全网 最低价 ！ 实力 平台 ！ 限时 免费送 66gz . top 浏览器 打开,1,1,1,√
33,榜 逃 +,0,0,0,√
34,2018 最新 / 免费 / 看 / 片群 出炉 . 群号 879811126 ， 要钱 我 吃 shi . 小妞 新群,1,1,1,√
35,买 光环 狍子 嘉年华 ， 塔坦杯 ， 2018 塔坦杯 ， 加 留言板 q2078374766 空间 信誉 可见 ， 看 我 自己 的 皮肤 2018 塔坦杯 狍子,1,1,1,√
36,逃杀 加,0,0,0,√
37,一分钱 买 50 人 观战 ， 一手 货源 群 ， 冰红茶 ， KFC 卡 ， 留言 攒 等 最低价 q 群 702070836,1,1,1,√
38,连 睡 +,0,0,0,√
39,淘沙,0,0,0,√
40,买 光环 狍子 嘉年华 ， 塔坦杯 ， 2018 塔坦杯 ， 加 留言板 q2078374766 空间 信誉 可见 ， 看 我 自己 的 皮肤 2018 塔坦杯 狍子,1,1,1,√
41,买 光环 狍子 嘉年华 ， 塔坦杯 ， 2018 塔坦杯 ， 加 留言板 q2078374766 空间 信誉 可见 ， 看 我 自己 的 皮肤 2018 塔坦杯 狍子,1,1,1,√
42,废狗 脾气 是 大 . 这 是 狗 的 惯性 吗 @ mc 张国荣 / 荣耀 逃杀 dd,0,0,1,×
43,观战 50 人一 小时 热门 0.3 元 ， 100 人 观战 0.5 元 网址 luojieds . top 售后 群 244519508,1,1,1,√
44,2018 最新 / 免费 / 看 / 片群 出炉 . 群号 879811126 ， 要钱 我 吃 shi . 小妞 新群,1,1,1,√
45,50 人 观战 一 小时 只要 0.60 元 ， 浏览器 搜索 ppp.52 nn . c ? n 即可 购买,1,1,1,√
46,名人 不说 暗话 ， 我 骗个 访客 ^ _ ^,0,0,0,√
47,逃杀,0,0,0,√
48,7 元 1 千万部 极品 大 . 片 （ 杨幂 热巴 潜规则 都 有 ） QQ1053913518 买 了 可 免费 深夜 聊污 （ 同行 举抱 放心 添加 ）,1,1,1,√
49,50 人 观战 一 小时 只要 0.60 元 ， 浏览器 搜索 ppp.52 nn . c ? n 即可 购买,1,1,1,√
50,没 时间 玩 了 号 低价 处理 ， 有意 的 看 留言板,1,1,1,√
51,逃杀 十赢 三来 ， 荣耀 局 来来来,0,0,0,√
52,喜 自由 能 踩 hello 跟班 仙女 给 我 留言 我 关注 你,0,0,0,√
53,名人 不说 暗话 ， 我 骗个 访客 ^ _ ^,0,0,0,√
54,逃杀 实力 +,0,0,0,√
55,逃杀 +,0,0,0,√
56,最新 观战 ！ 全新 货源 平台 ！ 欢迎 主 站 代理 拿货 ！ 44ka . top 浏览器 打开 ！ 全网 最低价 ！ 实力 平台 ！ 限时 免费送 66gz . top 浏览器 打开,1,1,1,√
57,ID 抱赏 是不是 你 吗 死 了 呢 。 没 人 管教 你 了 。 还 出来 骗 礼物 了 还 。,0,0,0,√
58,老板 们 该 买片 了 A . V 软件 . 网站 可 搜 （ 萝莉 ， 明星 ， 丝袜 ， 一线天 vip ） 应有尽有 可 截图 ios 可用 5r 购买 + q3422928788 老板,1,1,1,√
59,逃杀,0,0,0,√
60,心态 逃杀 ＋,0,0,0,√
61,50 人 观战 一 小时 只要 0.60 元 ， 浏览器 搜索 ppp.52 nn . c ? n 即可 购买,1,1,1,√
62,一手 观战 招 实力 代 ， 理 ， 观战 低至 几分 钱 ， 各种 业务 冰红茶 cdk ， 群号 : 702070836,1,1,1,√
63,观战 50 人一 小时 热门 0.3 元 ， 100 人 观战 0.5 元 网址 luojieds . top 售后 群 244519508,1,1,1,√
64,观战 50 人一 小时 热门 0.3 元 ， 100 人 观战 0.5 元 网址 luojieds . top 售后 群 244519508,1,1,1,√
65,一分钱 买 50 人 观战 ， 一手 货源 群 ， 冰红茶 ， KFC 卡 ， 留言 攒 等 最低价 q 群 702070836,1,1,1,√
66,一分钱 买 50 人 观战 ， 一手 货源 群 ， 冰红茶 ， KFC 卡 ， 留言 攒 等 最低价 q 群 702070836,1,1,1,√
67,逃杀 加稳,0,0,0,√
68,一手 观战 招 实力 代 ， 理 ， 观战 低至 几分 钱 ， 各种 业务 冰红茶 cdk ， 群号 : 702070836,1,1,1,√
69,迷雾 +,0,0,0,√
70,别 给 鸟儿 放假 了 ， 小 哥哥 买爽 片加 QQ ： 2748922307 什么 都 有 ， 快点 来 吧 ， 还有 各种 软件 t 哟,1,1,1,√
71,逃杀 实力 d,0,0,0,√
72,观战 50 人一 小时 热门 0.3 元 ， 100 人 观战 0.5 元 网址 luojieds . top 售后 群 244519508,1,1,1,√
73,逃杀,0,0,0,√
74,最新 观战 ！ 全新 货源 平台 ！ 欢迎 主 站 代理 拿货 ！ 44ka . top 浏览器 打开 ！ 全网 最低价 ！ 实力 平台 ！ 限时 免费送 66gz . top 浏览器 打开,1,1,1,√
75,玩 红包 接龙 加微 121200279,1,1,1,√
76,这里 有片 / 大学生 / 萝莉 / * * / 网红 / 直播 软件 / 小视频 软件 / 统统 都 有加 扣 2528753088 * * 勿扰,1,1,1,√
77,一手 观战 招 实力 代 ， 理 ， 观战 低至 几分 钱 ， 各种 业务 冰红茶 cdk ， 群号 : 702070836,1,1,1,√
78,鸟儿 别 放假 了 售 （ 韩国 女主播 ， 网红 ， 萝莉 ， 明星 ， 丝袜 ， 一线天 ） 应有尽有 ， 市面上 有 的 都 有 ， 网站 或 软件 5r ， 有意 3413977306,1,1,1,√
79,喜 自由 能 踩 hello 跟班 仙女 给 我 留言 我 关注 你,0,0,0,√
80,能 踩 hello 听话 常 在线 跟班 + 喜欢 踩 吞噬 的 私聊 我 回关 每天晚上 跟 我 一起 打白 开心 就 好 记得 私聊 我 主动 关注 你 明天 早上 全部 回复,0,0,0,√
81,小 哥哥 别 给 鸟儿 放假 了 ， 买爽 片加 QQ ： 2748922307 什么 都 有 ， 萝莉 ， 制服 ， 萝莉 等等 还有 （ 直播 软件 各种 软件 ） 切记 ， 不买 勿扰,1,1,1,√
82,买 2018 爽片加 QQ : 2748922307 有萝莉 ， 制服 ， 丝袜 ， 剧情 ， 大学生 ， 网红 ， 明星 ， 直播 软件 ， 等等 ， 小 哥哥 快点 来 不 吧 啊啊啊,1,1,1,√
83,7 元 1 千万部 极品 大 . 片 （ 杨幂 热巴 潜规则 都 有 ） QQ1053913518 买 了 可 免费 深夜 聊污 （ 同行 举抱 放心 添加 ）,1,1,1,√
84,逃杀 花式,0,0,0,√
85,喜 自由 能 踩 hello 跟班 仙女 给 我 留言 我 关注 你,0,0,0,√
86,买 光环 狍子 嘉年华 ， 塔坦杯 ， 2018 塔坦杯 ， 加 留言板 q2078374766 空间 信誉 可见 ， 看 我 自己 的 皮肤 2018 塔坦杯 狍子,1,1,1,√
87,逃 * * 速快 的 来 稳,0,0,0,√
88,老板 们 该 买片 了 A . V 软件 . 网站 可 搜 （ 萝莉 ， 明星 ， 丝袜 ， 一线天 vip ） 应有尽有 可 截图 ios 可用 5r 购买 + q3422928788,1,1,1,√
89,逃杀 数据,0,0,0,√
90,逃杀 荣耀,0,0,0,√
91,迷雾 +,0,0,0,√
92,一手 观战 招 实力 代 ， 理 ， 观战 低至 几分 钱 ， 各种 业务 冰红茶 cdk ， 群号 : 702070836,1,1,1,√
93,逃杀 dd,0,0,0,√
94,逃杀 加,0,0,0,√
95,这里 有片 / 大学生 / 萝莉 / * * / 网红 / 直播 软件 / 小视频 软件 / 统统 都 有加 扣 2528753088 * * 勿扰,1,1,1,√
96,逃杀 拒废,0,0,0,√
97,一分钱 买 50 人 观战 ， 一手 货源 群 ， 冰红茶 ， KFC 卡 ， 留言 攒 等 最低价 q 群 702070836,1,1,1,√
98,2018 最新 / 免费 / 看 / 片群 出炉 . 群号 879811126 ， 要钱 我 吃 shi 小妞 新群,1,1,1,√
99,买 光环 狍子 嘉年华 ， 塔坦杯 ， 2018 塔坦杯 ， 加 留言板 q2078374766 空间 信誉 可见 ， 看 我 自己 的 皮肤 2018 塔坦杯 狍子,1,1,1,√
100,买 2018 爽片加 QQ : 2748922307 有萝莉 ， 制服 ， 丝袜 ， 剧情 ， 大学生 ， 网红 ， 明星 ， 直播 软件 ， 等等 ， 小 哥哥 快点 来 不 吧 啊啊啊,1,1,1,√
101,逃杀 来,0,0,0,√
102,迷雾 +,0,0,0,√
103,冰冰 打法 逃杀 加,0,0,0,√
104,老板 们 该 买片 了 A . V 软件 . 网站 可 搜 （ 萝莉 ， 明星 ， 丝袜 ， 一线天 vip ） 应有尽有 可 截图 ios 可用 5r 购买 + q3422928788,1,1,1,√
105,买 光环 狍子 嘉年华 ， 塔坦杯 ， 2018 塔坦杯 ， 加 留言板 q2078374766 空间 信誉 可见 ， 看 我 自己 的 皮肤 2018 塔坦杯 狍子,1,1,1,√
106,这里 有片 / 大学生 / 萝莉 / * * / 网红 / 直播 软件 / 小视频 软件 / 统统 都 有加 扣 2528753088 * * 勿扰,1,1,1,√
107,观战 1 小时 0.1 包夜 福利 0.9 冰红茶 许愿瓶 650 个 15 进群 自助 下单 ： 820195002,1,1,1,√
108,花式 逃杀,0,0,0,√
109,对象,0,0,0,√
110,逃杀 +,0,0,0,√
111,最新 观战 ！ 全新 货源 平台 ！ 欢迎 主 站 代理 拿货 ！ 44ka . top 浏览器 打开 ！ 全网 最低价 ！ 实力 平台 ！ 限时 免费送 66gz . top 浏览器 打开,1,1,1,√
112,过 任务 秒 送 +,0,0,0,√
113,逃杀 来,0,0,0,√
114,别 给 鸟儿 放假 了 ， 小 哥哥 买爽 片加 QQ ： 2748922307 什么 都 有 ， 快点 来 吧 ， 还有 各种 软件 t 哟,1,1,1,√
115,7 元 1 千万部 极品 大 . 片 （ 杨幂 热巴 潜规则 都 有 ） QQ1053913518 买 了 可 免费 深夜 聊污 （ 同行 举抱 放心 添加 ）,1,1,1,√
116,逃杀 10 稳 5 来 ， 看 记录,0,0,0,√
117,最新 观战 ！ 全新 货源 平台 ！ 欢迎 主 站 代理 拿货 ！ 44ka . top 浏览器 打开 ！ 全网 最低价 ！ 实力 平台 ！ 限时 免费送 66gz . top 浏览器 打开,1,1,1,√
