,features
0,00
1,01
2,02
3,09
4,10
5,100
6,1000
7,10000
8,1001
9,1002
10,1003
11,1004
12,1005
13,1006
14,1006598569
15,1007
16,1008
17,1009
18,100k
19,1010
20,1010206
21,1011
22,1012
23,1013
24,1014
25,1015
26,1016
27,1017
28,1018
29,1019
30,1020
31,10205
32,1021
33,1022
34,1023
35,1024
36,1025
37,1026
38,1027
39,1028
40,102835361
41,1029
42,1030
43,1031
44,1032
45,1033
46,1034
47,1035
48,1036
49,1037
50,1038
51,1039
52,1040
53,1040301
54,1041
55,1042
56,1043
57,1044
58,1045
59,1046
60,1047
61,1048
62,1049
63,1050
64,10501
65,10506
66,1051
67,1052
68,108013221
69,10k
70,11
71,111
72,115961116
73,12
74,120
75,12114424
76,13
77,130731
78,1314
79,1314720300
80,14
81,14117211
82,15
83,150
84,1500
85,1522218040
86,1537890237
87,1548483706
88,16
89,1638011920
90,1668175451
91,1690538280
92,1691032370
93,1699164385
94,17
95,17117669
96,178146
97,18
98,180
99,19
100,1948607884
101,197524099
102,1k
103,1w
104,20
105,200
106,2000
107,20405
108,20k
109,21
110,22
111,222881
112,23
113,24
114,25
115,2548862
116,25元
117,26
118,26104860
119,27
120,275869
121,278398
122,278951
123,279206
124,279220
125,28
126,28751829
127,29
128,2k
129,30
130,300
131,3000
132,300元
133,3020405
134,30304
135,32
136,32835965
137,329694556
138,33
139,35963340
140,36601323
141,40
142,400
143,405
144,43186606
145,442247916
146,44264767
147,444528545
148,49048588
149,50
150,500
151,5020503
152,50304
153,50元
154,520
155,52475977
156,52499248
157,55
158,55976811
159,56416825
160,60
161,600
162,61411483
163,65
164,66
165,666
166,671776986
167,679015190
168,680796187
169,6r
170,6块
171,70
172,703765783
173,736025505
174,74066906
175,741140707
176,75679672
177,80
178,800
179,80069949
180,8537458
181,85447811
182,862738428
183,88
184,88291371
185,8888
186,90
187,98
188,98703725
189,99
190,994
191,995
192,996
193,9969738
194,997
195,998
196,999
197,9999
198,__
199,bad
200,bb
201,bi
202,bob
203,can
204,chu
205,cp
206,dd
207,emmm
208,emo
209,en
210,fw
211,gou
212,gun
213,hao
214,hello
215,hh
216,hhh
217,hhhh
218,hi
219,id
220,ld
221,ls
222,ma
223,md
224,mua
225,mvp
226,nb
227,no
228,nt
229,ok
230,okk
231,okok
232,qaq
233,qq
234,qq2676249257
235,sb
236,sha
237,show
238,si
239,sorry
240,tm
241,tt
242,vx
243,wan
244,wc
245,wx
246,xxs
247,yz
248,一万
249,一个个
250,一个月
251,一人
252,一会
253,一会儿
254,一共
255,一关
256,一分钟
257,一千
258,一千多
259,一半
260,一卡
261,一句
262,一块
263,一堆
264,一声
265,一天天
266,一局
267,一年
268,一张
269,一批
270,一把
271,一条
272,一步
273,一段时间
274,一点
275,一点点
276,一百
277,一看
278,一秒
279,一级
280,一组
281,一群
282,一脚
283,一辈子
284,一顿
285,一颗
286,七月
287,七点
288,万金
289,三万
290,三个
291,三塔
292,三天
293,三指
294,三角
295,上不去
296,上个
297,上个月
298,上分
299,上午
300,上号
301,上头
302,上学
303,上次
304,上海
305,上班
306,上线
307,上课
308,上车
309,下个
310,下个月
311,下午
312,下次
313,下班
314,下线
315,下课
316,不上
317,不买
318,不了
319,不互
320,不介意
321,不会
322,不会玩
323,不住
324,不信
325,不值
326,不值钱
327,不像
328,不充
329,不先
330,不准
331,不出
332,不删
333,不到
334,不加
335,不动
336,不卖
337,不卡
338,不去
339,不发
340,不可以
341,不吃
342,不合
343,不同
344,不回
345,不困
346,不在乎
347,不坑
348,不处
349,不够
350,不太
351,不太会
352,不太好
353,不好
354,不好意思
355,不好玩
356,不如
357,不对劲
358,不少
359,不差
360,不带
