,features
0,00
1,01
2,02
3,04
4,10
5,100
6,1000
7,10000
8,1000005
9,1000202
10,1000305
11,1001
12,1002
13,1003
14,1004
15,1005
16,1006
17,1007
18,1008
19,1009
20,100k
21,1010
22,1010206
23,1011
24,1012
25,1013
26,1014
27,1015
28,1016
29,1017
30,1018
31,1019
32,10199802
33,1020
34,10205
35,1021
36,1022
37,1023
38,1024
39,1025
40,1026
41,1027
42,1028
43,1029
44,1029894713
45,1030
46,1031
47,1032
48,1033
49,10330
50,1034
51,1035
52,1036
53,1037
54,1038
55,1039
56,103928818
57,1040
58,1041
59,1041298779
60,1042
61,1043
62,1044
63,1045
64,1046
65,1047
66,1048
67,1049
68,1050
69,1051
70,1051486902
71,1052
72,106539837
73,1067435758
74,108013221
75,10k
76,10w
77,11
78,1132602607
79,1164770303
80,1169343803
81,1174430040
82,12
83,1220800892
84,1241189675
85,124722019
86,124890161
87,1253441574
88,125473026
89,1281433464
90,128645770
91,129803836
92,13
93,1306129095
94,13125776
95,1314
96,131798719
97,132211949
98,1335977694
99,135338005
100,135404892
101,14
102,140
103,1411924190
104,1441908155
105,1444481071
106,1445029278
107,1449195258
108,1449274865
109,1456962793
110,147222509
111,14754043
112,1479816044
113,15
114,150
115,1509042247
116,1521982297
117,1526643522
118,1530420445
119,1543745915
120,1594320912
121,16
122,1609627665
123,1619547917
124,1620540167
125,1620912274
126,1621026903
127,1621360625
128,1621422408
129,1632164982
130,1633313411
131,1634349493
132,1635117918
133,1638991818
134,1644421163
135,164635771
136,1646528129
137,1653456857
138,1658591001
139,1659786008
140,166394236
141,1668175451
142,1669797467
143,1670174734
144,1676006482
145,1677539226
146,167777
147,1677995921
148,1680882405
149,1682227147
150,16891711
151,1690538280
152,16909463
153,1691656857
154,1697784631
155,1698398985
156,1699089781
157,17
158,17117669
159,177841
160,18
161,180
162,183997
163,184350
164,19
165,197524099
166,1k
167,1w
168,20
169,200
170,2000
171,21
172,21019776
173,214928710
174,216923
175,22
176,22598598
177,23
178,236176
179,24
180,2414393
181,24646677
182,249520
183,25
184,256450
185,259285173
186,26
187,260286
188,261772427
189,267100
190,268965
191,27
192,271283904
193,27197655
194,273081
195,273511476
196,275869
197,278325
198,278574
199,280153
200,280201
201,280278
202,28574459
203,29103269
204,29759
205,30
206,300
207,3000
208,30001
209,30301
210,3030106
211,30304
212,3030405
213,30506
214,30590300
215,309460640
216,316776596
217,32
218,323830386
219,33
220,34770894
221,36201781
222,36601323
223,373513
224,38
225,38391839
226,40
227,400
228,40004
229,4020201
230,40312228
231,40503914
232,40539564
233,4070650
234,410172537
235,41394386
236,43186606
237,44
238,44264767
239,44362964
240,4454280
241,45
242,45553163
243,47839366
244,48628132
245,50
246,500
247,50203
248,5020503
249,50304
250,50401
251,50405
252,50504
253,50575859
254,5090651
255,50元
256,5173
257,520
258,52006540
259,52475977
260,54607446
261,54770137
262,55585831
263,57419376
264,58008456
265,58289678
266,58906235
267,593765528
268,60
269,600
270,625609912
271,627554797
272,63167427
273,63797176
274,63854006
275,641299773
276,646294100
277,65
278,66
279,666
280,6666
281,67380058
282,679015190
283,687273555
284,687931141
285,690529069
286,6r
287,704075319
288,71270962
289,724810435
290,734656289
291,73984
292,74066906
293,744545311
294,74808957
295,753224311
296,754098870
297,754611301
298,761079253
299,761579331
300,767446002
301,76998959
302,778529763
303,78588723
304,79386737
305,80
306,800
307,81112706
308,812878804
309,82700320
310,834280236
311,8375070
312,85095553
313,8670971
314,86866684
315,8713562
316,90
317,900
318,90755158
319,90930117
320,93
321,9399372
322,95
323,961535865
324,96304475
325,973502299
326,98
327,981942456
328,982146091
329,985273125
330,99
331,992163675
332,994
333,996
